lexeme	CurrentNode	lineno	tokenName	valueIfNumber	parentNodeSymbol	isLeafNode	NodeSymbol
---	Non-Terminal	-1	---	-	PROGRAM	no	OTHERFUNCTIONS
---	Leaf	-1	---	-	OTHERFUNCTIONS	yes	EPSILON
---	Non-Terminal	-1	---	-	ROOT	no	PROGRAM
_main	Leaf	4	TK_MAIN	-	MAINFUNCTION	yes	TK_MAIN
---	Non-Terminal	-1	---	-	STMTS	no	TYPEDEFINITIONS
---	Leaf	-1	---	-	TYPEDEFINITIONS	yes	EPSILON
---	Non-Terminal	-1	---	-	STMTS	no	DECLARATIONS
---	Leaf	-1	---	-	DECLARATIONS	yes	EPSILON
---	Non-Terminal	-1	---	-	STMTS	no	OTHERSTMTS
---	Leaf	-1	---	-	OTHERSTMTS	yes	EPSILON
---	Non-Terminal	-1	---	-	MAINFUNCTION	no	STMTS
return	Leaf	6	TK_RETURN	-	RETURNSTMT	yes	TK_RETURN
---	Non-Terminal	-1	---	-	RETURNSTMT	no	OPTIONALRETURN
---	Leaf	-1	---	-	OPTIONALRETURN	yes	EPSILON
---	Non-Terminal	-1	---	-	STMTS	no	RETURNSTMT
;	Leaf	6	TK_SEM	-	RETURNSTMT	yes	TK_SEM
---	Non-Terminal	-1	---	-	PROGRAM	no	MAINFUNCTION
end	Leaf	7	TK_END	-	MAINFUNCTION	yes	TK_END
